NIM,Nama,Email,Semester,IPK,Status,Tanggal Daftar
99614064,Mahasiswa 99614064,99614064@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614054,Mahasiswa 99614054,99614054@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614053,Mahasiswa 99614053,99614053@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614052,Mahasiswa 99614052,99614052@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614051,Mahasiswa 99614051,99614051@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614050,Mahasiswa 99614050,99614050@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614049,Mahasiswa 99614049,99614049@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614048,Mahasiswa 99614048,99614048@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614047,Mahasiswa 99614047,99614047@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614046,Mahasiswa 99614046,99614046@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614045,Mahasiswa 99614045,99614045@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614044,Mahasiswa 99614044,99614044@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614043,Mahasiswa 99614043,99614043@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614042,Mahasiswa 99614042,99614042@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614041,Mahasiswa 99614041,99614041@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614040,Mahasiswa 99614040,99614040@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614039,Mahasiswa 99614039,99614039@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614038,Mahasiswa 99614038,99614038@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614037,Mahasiswa 99614037,99614037@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614036,Mahasiswa 99614036,99614036@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614035,Mahasiswa 99614035,99614035@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614034,Mahasiswa 99614034,99614034@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614033,Mahasiswa 99614033,99614033@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614032,Mahasiswa 99614032,99614032@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614031,Mahasiswa 99614031,99614031@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614030,Mahasiswa 99614030,99614030@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
99614029,Mahasiswa 99614029,99614029@student.uad.ac.id,1,,aktif,Wed Jun 24 2026 20:01:11 GMT+0700 (Indochina Time)
